"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1356","Получить весь список фиктивных товаров и сохранить список в файл","","2026-03-13","passed","2026-03-13","Получение списка случайных продуктов","products/products.list.spec.ts","",""
"","3172","Создание продукта с отрицательной ценой (-100)","","2026-03-13","failed","2026-03-13","Параметризованные тесты для цены продукта","advanced/products.parametrized.spec.ts","",""
"","273","Удаление продукта и проверка статуса 200/204","","2026-03-13","passed","2026-03-13","CRUD операции","products/products.crud.spec.ts","",""
"","4034","GET /products/{id} должен соответствовать схеме","","2026-03-13","passed","2026-03-13","JSON Schema валидация","advanced/products.schema.spec.ts","",""
"","220","POST /products без авторизации - ожидаем 401","","2026-03-13","passed","2026-03-13","Негативные тесты для продуктов","products/products.negative.spec.ts","",""
"","1031","POST /products с неверным Content-Type - ожидаем 400","","2026-03-13","passed","2026-03-13","Негативные тесты для продуктов","products/products.negative.spec.ts","",""
"","511","Обновление цены у продукта","","2026-03-13","passed","2026-03-13","CRUD операции","products/products.crud.spec.ts","",""
"","251","Получение продукта по ID и проверка названия","","2026-03-13","passed","2026-03-13","CRUD операции","products/products.crud.spec.ts","",""
"","1459","Регистрация нового пользователя, логин и использование токена","","2026-03-13","passed","2026-03-13","Регистрация и авторизация","auth/auth.spec.ts","",""
"","721","GET /products/{id} с несуществующим ID - ожидаем 404","","2026-03-13","passed","2026-03-13","Негативные тесты для продуктов","products/products.negative.spec.ts","",""
"","3127","Создание продукта с слишком большой ценой (Цена 1e+23) (1e+23)","","2026-03-13","passed","2026-03-13","Параметризованные тесты для цены продукта","advanced/products.parametrized.spec.ts","",""
"","3197","Создание продукта с нулевой ценой (0)","","2026-03-13","failed","2026-03-13","Параметризованные тесты для цены продукта","advanced/products.parametrized.spec.ts","",""
"","2610","Создание продукта с очень большой ценой (но валидная) (99999999999999)","","2026-03-13","passed","2026-03-13","Параметризованные тесты для цены продукта","advanced/products.parametrized.spec.ts","",""
"","1200","POST /products с неверной price - ожидаем 422","","2026-03-13","passed","2026-03-13","Негативные тесты для продуктов","products/products.negative.spec.ts","",""
"","1527","Создание продукта","","2026-03-13","passed","2026-03-13","CRUD операции","products/products.crud.spec.ts","",""
